category,display_name,id,cfs,definition,source,time,method,formula,equipment,link
02 - Anthropometry,Hip circumference,hipcircum,hipc1,hip circumference 1,CFS,Visit 5,Measured,,inelastic tape measure,
02 - Anthropometry,Hip circumference,hipcircum,hipc2,hip circumference 2,CFS,Visit 5,Measured,,inelastic tape measure,
02 - Anthropometry,Neck circumference,neckcircum,neckcm,Mean neck circumference,CFS,Visit 5,Calculated,,non-stretchable cloth measuring tape to the nearest 0.5 cm,
02 - Anthropometry,Neck circumference,neckcircum,neckc1,neck circumference 1,CFS,Visit 5,Measured,,non-stretchable cloth measuring tape to the nearest 0.5 cm,
02 - Anthropometry,Neck circumference,neckcircum,neckc2,neck circumference 2,CFS,Visit 5,Measured,,non-stretchable cloth measuring tape to the nearest 0.5 cm,
02 - Anthropometry,Tonsilar size,tonsilsize,nutonsil,"Tonsillar size, Dr. Rosen scale",CFS,Visit 5,Observed,,CFS in lab physio form,
02 - Anthropometry,Waist circumference,waistcirum,waistcm,Mean waist circumference,CFS,Visit 5,Calculated,,inelastic tape measure,
02 - Anthropometry,Waist circumference,waistcirum,waistc1,waist circumference 1,CFS,Visit 5,Measured,,inelastic tape measure,
02 - Anthropometry,Waist circumference,waistcirum,waistc2,waist circumference 2,CFS,Visit 5,Measured,,inelastic tape measure,
02 - Anthropometry,Waist/hip ratio,waisthip,,,,,,,,
02 - Anthropometry,Weight,weight,wtkg,Weight,CFS,Visit 5,Measured,,CFS in lab physio form- healthometer digital scale,
02 - Anthropometry,Weight,weight,whtkg,Weight (kg),CFS,Visit 5,Measured,,CFS in lab physio form- healthometer digital scale,
03 - Physiological Measurements,Diastolic blood pressure,diastolicbp,,,,,,,,
03 - Physiological Measurements,Heart rate,heartrate,,,,,,,,
03 - Physiological Measurements,Systolic blood pressure,systolicbp,,,,,,,,
03A - Physiological Measurements - Electrocardiogram,Atrial fibrillation - electrocardiogram,afibekg,,,,,,,,
04 - Medical History,Anxiety disorder,anixietyhist,,,,,,,,
04 - Medical History,Asthma,asthmahist,,,,,,,,
04 - Medical History,Atrial fibrillation - history,afibhist,,,,,,,,
04 - Medical History,Attention deficit hyperactivity disorder,adhdhist,,,,,,,,
04 - Medical History,Cancer - history,cancerhist,,,,,,,,
04 - Medical History,Cardiac arrhythmia - history,arrhythmiahist,,,,,,,,
04 - Medical History,Cardiovascular disease - history,cvdishist,,,,,,,,
04 - Medical History,Chronic obstructive pulmonary disease/emphysema - history,copdhist,,,,,,,,
04 - Medical History,Congestive heart failure - history,chfhist,,,,,,,,
04 - Medical History,Coronary artery disease - history,cadhist,,,,,,,,
04 - Medical History,Depression,depresshist,,,,,,,,
04 - Medical History,Diabetes mellitus - history,dmhist,,,,,,,,
04 - Medical History,Eating disorder,eatingdishist,,,,,,,,
04 - Medical History,Eczema,eczemahist,,,,,,,,
04 - Medical History,Gastroesophageal reflux disease,gerdhist,,,,,,,,
04 - Medical History,Hay fever,hayfevhist,,,,,,,,
04 - Medical History,Hypercholesterolemia - history,cholesthist,,,,,,,,
04 - Medical History,Hypertension - history,htnhist,,,,,,,,
04 - Medical History,Migraine headache,migrainehist,,,,,,,,
04 - Medical History,Myocardial infarction - history,mihist,,,,,,,,
04 - Medical History,Pacemaker placement,ppmhist,,,,,,,,
04 - Medical History,Seizure disorder/epilepsy - history,seizurehist,,,,,,,,
04 - Medical History,Stroke - history,strokehist,,,,,,,,
04 - Medical History,Taking cardiovascular medication,cvmedshist,,,,,,,,
04 - Medical History,Transient ischemic attack,tiahist,,,,,,,,
04A - Medical History - Sleep Disorders,History of adenoidectomy,adenoidhist,,,,,,,,
04A - Medical History - Sleep Disorders,History of adenotonsillectomy ,adenoidtonsilhist,,,,,,,,
04A - Medical History - Sleep Disorders,History of tonsillectomy,tonsilhist,,,,,,,,
04A - Medical History - Sleep Disorders,History of uvulopalatoplasty/oral surgery,upphist,,,,,,,,
04A - Medical History - Sleep Disorders,Insomnia,insomniahist,,,,,,,,
04A - Medical History - Sleep Disorders,Narcolepsy,narcolephist,,,,,,,,
04A - Medical History - Sleep Disorders,Periodic limb movement disorder,plmdhist,,,,,,,,
04A - Medical History - Sleep Disorders,Restless legs syndrome,rlshist,,,,,,,,
04A - Medical History - Sleep Disorders,Sleep apnea,apneahist,,,,,,,,
04A - Medical History - Sleep Disorders,Use of an oral appliance,oralapphist,,,,,,,,
04A - Medical History - Sleep Disorders,Use of CPAP,cpaphist,,,,,,,,
05 - Medications,5-Lipoxygenase Inhibitor,5lipoxinh,,,,,,,,
05 - Medications,Cholinesterase Inhibitor,cholinh,,,,,,,,
05 - Medications,alpha-Adrenergic Blocker,alphablocker,,,,,,,,
05 - Medications,alpha-Glucosidase Inhibitor,alphaglucos,,,,,,,,
05 - Medications,Angiotensin 2 Receptor Blocker,arb,,,,,,,,
05 - Medications,Angiotensin Converting Enzyme Inhibitor,aceinh,,,,,,,,
05 - Medications,Antiarrhythmic,antiarrhyth,,,,,,,,
05 - Medications,Anticholinergic,antichol,,,,,,,,
05 - Medications,Anti-coagulant,anticoag,,,,,,,,
05 - Medications,Atypical Antipsychotic,atypicalantipsychot,,,,,,,,
05 - Medications,Benzodiazepine,benzo,,,,,,,,
05 - Medications,Beta 2 Adrenergic Agonist,betaagonist,,,,,,,,
05 - Medications,beta-Adrenergic Blocker,betablocker,,,,,,,,
05 - Medications,Biguanide,biguanide,,,,,,,,
05 - Medications,Bile Acid Sequestrant,bileacidseq,,,,,,,,
05 - Medications,Calcium Channel Blocker,calcchanblocker,,,,,,,,
05 - Medications,Cardiac Glycoside,digitalis,,,,,,,,
05 - Medications,Central Nervous System Stimulant,cnsstimulant,,,,,,,,
05 - Medications,Corticosteroid,corticoster,,,,,,,,
05 - Medications,Dihydropyridine Calcium Channel Blocker,dhpcalchanblocker,,,,,,,,
05 - Medications,Dipeptidyl Peptidase 4 Inhibitor,dpp4inh,,,,,,,,
05 - Medications,Estrogen,estrogen,,,,,,,,
05 - Medications,GLP-1 Receptor Agonist,glp1agonist,,,,,,,,
05 - Medications,Histamine-2 Receptor Antagonist,h2blocker,,,,,,,,
05 - Medications,HMG-CoA Reductase Inhibitor,hmgcoainh,,,,,,,,
05 - Medications,Hypercholesterolemia,cholloweragent,,,,,,,,
05 - Medications,Insulin,insulin,,,,,,,,
05 - Medications,Insulin Analog,insulinanalog,,,,,,,,
05 - Medications,Leukotriene Receptor Antagonist,leukotrantag,,,,,,,,
05 - Medications,Loop Diuretic,loopdiuretic,,,,,,,,
05 - Medications,Low Molecular Weight Heparin,lmwheparin,,,,,,,,
05 - Medications,l-Thyroxine,thyroxine,,,,,,,,
05 - Medications,l-Triiodothyronine,triiodothy,,,,,,,,
05 - Medications,Monoamine Oxidase Inhibitor,moainhi,,,,,,,,
05 - Medications,Nicotinic Acid,nicotinicacid,,,,,,,,
05 - Medications,Nitrate Vasodilator,nitrated,,,,,,,,
05 - Medications,Nonergot Dopamine Agonist,nonergotdopam,,,,,,,,
05 - Medications,Nonsteroidal Anti-inflammatory Drug,nsaid,,,,,,,,
05 - Medications,Phosphodiesterase 5 Inhibitor,phospho5inh,,,,,,,,
05 - Medications,Platelet Aggregation Inhibitor,plateletedagginh,,,,,,,,
05 - Medications,Potassium Salt,potassiumsalt,,,,,,,,
05 - Medications,Potassium-sparing Diuretic,potassiumspardiur,,,,,,,,
05 - Medications,Progestin,progestin,,,,,,,,
05 - Medications,Proton Pump Inhibitor,ppi,,,,,,,,
05 - Medications,Sulfonylurea,sulfonylurea,,,,,,,,
05 - Medications,Sympathomimetic Amine Anorectic,sympathanorect,,,,,,,,
05 - Medications,Sympathomimetic-like Agent,sympathagent,,,,,,,,
05 - Medications,Thiazide Diuretic,thiazide,,,,,,,,
05 - Medications,Thiazolidinedione,tzd,,,,,,,,
05 - Medications,Tricyclic Antidepressant,tca,,,,,,,,
05 - Medications,Typical Antipsychotic,typicalantipsychot,,,,,,,,
05 - Medications,Unfractionated Heparin,unfractheparin,,,,,,,,
05 - Medications,Vasodilator,vasodilator,,,,,,,,
05 - Medications,Xanthine Oxidase Inhibitor,xanthoxidinh,,,,,,,,
06 - Health Habits,Alcohol consumption,alcohol,,,,,,,,
06 - Health Habits,Self reported bed time,selfrepbedtime,,,,,,,,
06 - Health Habits,Self reported wake time,selfrepwaketime,,,,,,,,
06 - Health Habits,Self reported sleep duration,selfrepsleepduration,,,,,,,,
06 - Health Habits,Smoking status,smoking,,,,,,,,
07 - Laboratory Data,Fasting glucose,fastingglucose,,,,,,,,
07 - Laboratory Data,Fasting insulin,fastinginsulin,,,,,,,,
07 - Laboratory Data,HDL cholesterol,hdlchol,,,,,,,,
07 - Laboratory Data,LDL cholesterol,ldlchol,,,,,,,,
07 - Laboratory Data,Total cholesterol,totalchol,,,,,,,,
07 - Laboratory Data,Triglycerides,triglyc,,,,,,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type I,type1sleepstudy,,,,,,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type II,type2sleepstudy,,,,,,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type III,type3sleepstudy,,,,,,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type IV,type4sleepstudy,,,,,,,,
08A2 - Sleep Study Data - Acquisition - Sleep Study Location,Laboratory,labsleepstudy,,,,,,,,
08A2 - Sleep Study Data - Acquisition - Sleep Study Location,Home,homesleepstudy,,,,,,,,
08B - Sleep Study Data - Time,Duration of sleep study,sleepstudyduration,stdurm,total recording time,,,,,,
08B - Sleep Study Data - Time,Sleep duration,sleepduration,slpprdp,Sleep Time,,,,,,
08B - Sleep Study Data - Time,Sleep duration,sleepduration,remepbp,"Sleep Time (REM, Back)",,,,,,
08B - Sleep Study Data - Time,Sleep duration,sleepduration,remepop,"Sleep Time (REM, Other)",,,,,,
08B - Sleep Study Data - Time,Sleep duration,sleepduration,slp_rdi,Sleep time used in calculations,,,,,,
08B - Sleep Study Data - Time,Sleep duration,sleepduration,slp_time,Sleep time when entire sleep was captured,,,,,,
08B - Sleep Study Data - Time,Sleep efficiency,sleepefficiency,slp_eff,Sleep Efficiency,,,,,,
08B - Sleep Study Data - Time,Sleep efficiency,sleepefficiency,slpeffp,PSG Report: Sleep Efficiency,,,,,,
08B - Sleep Study Data - Time,Sleep fragmentation index,sleepfragmentindex,,,,,,,,
08B - Sleep Study Data - Time,Sleep maintenance efficiency,sleepmaintefficiency,slp_eff,Sleep Efficiency,,,,,,
08B - Sleep Study Data - Time,Sleep maintenance efficiency,sleepmaintefficiency,slpeffp,PSG Report: Sleep Efficiency,,,,,,
08B - Sleep Study Data - Time,Sleep onset latency,sleeponsetlatency,slp_lat,Sleep latency,,,,,,
08B - Sleep Study Data - Time,Sleep onset latency,sleeponsetlatency,slplatp,PSG Report: Sleep Latency,,,,,,
08B - Sleep Study Data - Time,Time awake after sleep onset,timeawakeaftersleep,waso,Wake After Sleep Onset,,,,,,
08B - Sleep Study Data - Time,Time in bed duration,timeinbedduration,time_bed,Total Time in Bed,,,,,,
08B - Sleep Study Data - Time,Time in bed duration,timeinbedduration,timebedp,Time in bed,,,,,,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canba,"Number of Central Apnea w/ arousals (NREM, Back, all oxygen desaturations)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canba2,"Number of Central Apnea w/ arousals (NREM, Back, 2% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canba3,"Number of Central Apnea w/ arousals (NREM, Back, 3% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canba4,"Number of Central Apnea w/ arousals (NREM, Back, 4% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canba5,"Number of Central Apnea w/ arousals (NREM, Back, 5% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canbp,"Number of Central Apnea (NREM, Back, all oxygen desaturations)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canbp2,"Number of Central Apnea (NREM, Back, 2% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canbp3,"Number of Central Apnea (NREM, Back, 3% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canbp4,"Number of Central Apnea (NREM, Back, 4% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canbp5,"Number of Central Apnea (NREM, Back, 5% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canoa,"Number of Central Apnea w/ arousals (NREM, Other, all oxygen desaturations)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canoa2,"Number of Central Apnea w/ arousals (NREM, Other, 2% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canoa3,"Number of Central Apnea w/ arousals (NREM, Other, 3% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canoa4,"Number of Central Apnea w/ arousals (NREM, Other, 4% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canoa5,"Number of Central Apnea w/ arousals (NREM, Other, 5% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canop,"Number of Central Apnea (NREM, Other, all oxygen desaturations)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canop2,"Number of Central Apnea (NREM, Other, 2% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canop3,"Number of Central Apnea (NREM, Other, 3% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canop4,"Number of Central Apnea (NREM, Other, 4% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canop5,"Number of Central Apnea (NREM, Other, 5% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,carba,"Number of Central Apnea w/ arousals (REM, Back, all oxygen desaturations)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,carba2,"Number of Central Apnea w/ arousals (REM, Back, 2% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,carba3,"Number of Central Apnea w/ arousals (REM, Back, 3% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,carba4,"Number of Central Apnea w/ arousals (REM, Back, 4% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,carba5,"Number of Central Apnea w/ arousals (REM, Back, 5% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,carbp,"Number of Central Apnea (REM, Back, all oxygen desaturations)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,carbp2,"Number of Central Apnea (REM, Back, 2% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,carbp3,"Number of Central Apnea (REM, Back, 3% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,carbp4,"Number of Central Apnea (REM, Back, 4% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,carbp5,"Number of Central Apnea (REM, Back, 5% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,caroa,"Number of Central Apnea w/ arousals (REM, Other, all oxygen desaturations)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,caroa2,"Number of Central Apnea w/ arousals (REM, Other, 2% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,caroa3,"Number of Central Apnea w/ arousals (REM, Other, 3% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,caroa4,"Number of Central Apnea w/ arousals (REM, Other, 4% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,caroa5,"Number of Central Apnea w/ arousals (REM, Other, 5% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,carop,"Number of Central Apnea (REM, Other, all oxygen desaturations)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,carop2,"Number of Central Apnea (REM, Other, 2% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,carop3,"Number of Central Apnea (REM, Other, 3% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,carop4,"Number of Central Apnea (REM, Other, 4% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,carop5,"Number of Central Apnea (REM, Other, 5% oxygen desaturation)",CFS,Visit 5,Measured,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnba,"Central Apnea per hour w/ arousals (NREM, Back, all oxygen desaturations)",CFS,Visit 5,Calculated,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnba2,"Central Apnea per hour w/ arousals (NREM, Back, 2% oxygen desaturation)",CFS,Visit 5,Calculated,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnba3,"Central Apnea per hour w/ arousals (NREM, Back, 3% oxygen desaturation)",CFS,Visit 5,Calculated,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnba4,"Central Apnea per hour w/ arousals (NREM, Back, 4% oxygen desaturation)",CFS,Visit 5,Calculated,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnba5,"Central Apnea per hour w/ arousals (NREM, Back, 5% oxygen desaturation)",CFS,Visit 5,Calculated,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnbp,"Central Apnea per hour (NREM, Back, all oxygen desaturations)",CFS,Visit 5,Calculated,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnbp2,"Central Apnea per hour (NREM, Back, 2% oxygen desaturation)",CFS,Visit 5,Calculated,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnbp3,"Central Apnea per hour (NREM, Back, 3% oxygen desaturation)",CFS,Visit 5,Calculated,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnbp4,"Central Apnea per hour (NREM, Back, 4% oxygen desaturation)",CFS,Visit 5,Calculated,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnbp5,"Central Apnea per hour (NREM, Back, 5% oxygen desaturation)",CFS,Visit 5,Calculated,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnoa,"Central Apnea per hour w/ arousals (NREM, Other, all oxygen desaturations)",CFS,Visit 5,Calculated,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnoa2,"Central Apnea per hour w/ arousals (NREM, Other, 2% oxygen desaturation)",CFS,Visit 5,Calculated,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnoa3,"Central Apnea per hour w/ arousals (NREM, Other, 3% oxygen desaturation)",CFS,Visit 5,Calculated,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnoa4,"Central Apnea per hour w/ arousals (NREM, Other, 4% oxygen desaturation)",CFS,Visit 5,Calculated,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnoa5,"Central Apnea per hour w/ arousals (NREM, Other, 5% oxygen desaturation)",CFS,Visit 5,Calculated,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnop,"Central Apnea per hour (NREM, Other, all oxygen desaturations)",CFS,Visit 5,Calculated,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnop2,"Central Apnea per hour (NREM, Other, 2% oxygen desaturation)",CFS,Visit 5,Calculated,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnop3,"Central Apnea per hour (NREM, Other, 3% oxygen desaturation)",CFS,Visit 5,Calculated,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnop4,"Central Apnea per hour (NREM, Other, 4% oxygen desaturation)",CFS,Visit 5,Calculated,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnop5,"Central Apnea per hour (NREM, Other, 5% oxygen desaturation)",CFS,Visit 5,Calculated,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardrba,"Central Apnea per hour w/ arousals (REM, Back, all oxygen desaturations)",CFS,Visit 5,Calculated,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardrba2,"Central Apnea per hour w/ arousals (REM, Back, 2% oxygen desaturation)",CFS,Visit 5,Calculated,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardrba3,"Central Apnea per hour w/ arousals (REM, Back, 3% oxygen desaturation)",CFS,Visit 5,Calculated,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardrba4,"Central Apnea per hour w/ arousals (REM, Back, 4% oxygen desaturation)",CFS,Visit 5,Calculated,,Edentec PSG monitor,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardrba5,"Central Apnea per hour w/ arousals (REM, Back, 5% oxygen desaturation)",CFS,Visit 5,Calculated,,Edentec PSG monitor,
