category,display_name,id,bestair,definition,source,time,method,formula,equipment,link
04 - Medical History,Gastroesophageal reflux disease,gerdhist,shq_gerd,Self-reported physician diagnosis of gastroesophageal reflux disease (GERD),Bestair,Visit 2 (Baseline research exam),Self-reported physician diagnosed,,,
04 - Medical History,Hay fever,hayfevhist,,,,,,,,
04 - Medical History,Hypercholesterolemia - history,cholesthist,shq_highcholes,Self-reported physician diagnosis of high blood cholesterol,Bestair,Visit 2 (Baseline research exam),Self-reported physician diagnosed,,,
04 - Medical History,Hypercholesterolemia - history,cholesthist,shq_highcholesmed,Self-reported medications for high blood cholesterol,Bestair,Visit 2 (Baseline research exam),Self-reported physician diagnosed,,,
04 - Medical History,Hypertension - history,htnhist,shq_highbp,Self-reported physician diagnosis of high blood pressure or hypertension,Bestair,Visit 2 (Baseline research exam),Self-reported physician diagnosed,,,
04 - Medical History,Hypertension - history,htnhist,shq_highbpmed,Self-reported medications for high blood pressure/hypertension ,Bestair,Visit 2 (Baseline research exam),Self-reported physician diagnosed,,,
04 - Medical History,Migraine headache,migrainehist,shq_migraine,Self-reported physician diagnosis of migraine headaches,Bestair,Visit 2 (Baseline research exam),Self-reported physician diagnosed,,,
04 - Medical History,Myocardial infarction - history,mihist,,,,,,,,
04 - Medical History,Pacemaker placement,ppmhist,,,,,,,,
04 - Medical History,Seizure disorder/epilepsy - history,seizurehist,shq_epilepsy,Self-reported physician diagnosis of epilepsy/seizure disorder,Bestair,Visit 2 (Baseline research exam),Self-reported physician diagnosed,,,
04 - Medical History,Stroke - history,strokehist,,,,,,,,
04 - Medical History,Taking cardiovascular medication,cvmedshist,,,,,,,,
04 - Medical History,Transient ischemic attack,tiahist,,,,,,,,
04 - Medical History,Peripheral vascular disease,pvdhist,,,,,,,,
04 - Medical History,"Revascularization (PTCA, CABG) - history",revaschist,,,,,,,,
04 - Medical History,Angina pectoris,anginahist,,,,,,,,
04 - Medical History,Cardiac arrest - history,cardarresthist,,,,,,,,
04 - Medical History,Bariatric surgery,bariatrichist,,,,,,,,
04A - Medical History - Sleep Disorders,History of adenoidectomy,adenoidhist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,History of adenotonsillectomy ,adenoidtonsilhist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,History of tonsillectomy,tonsilhist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,History of uvulopalatoplasty/oral surgery,upphist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Insomnia,insomniahist,shq_insomnia,Self-reported physician diagnosis of insomnia,Bestair,Visit 2 (Baseline research exam),History - Sled,,,
04A - Medical History - Sleep Disorders,Narcolepsy,narcolephist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Periodic limb movement disorder,plmdhist,shq_restlesslegs,Self-reported physician diagnosis of Restless Legs/Periodic Leg Movements,Bestair,Visit 2 (Baseline research exam),History - Sled,,,
04A - Medical History - Sleep Disorders,Restless legs syndrome,rlshist,shq_restlesslegs,Self-reported physician diagnosis of Restless Legs/Periodic Leg Movements,Bestair,Visit 2 (Baseline research exam),History - Sled,,,
04A - Medical History - Sleep Disorders,Sleep apnea,apneahist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Use of an oral appliance,oralapphist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Use of CPAP,cpaphist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Chronic insomnia disorder,chronicinsomniahist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Short-term insomnia disorder,shortterminsomniahist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Other insomnia disorder,otherinsomniahist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,"Obstructive sleep apnea, adult",osaadulthist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,"Obstructive sleep apnea, pediatric",osapedhist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Central sleep apnea with Cheyne-Stokes breathing,csawithcheynehist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Central apnea due to a medical disorder without Cheyne-Stokes breathing,csadisordwithoutcheynehist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Central sleep apnea due to high altitude periodic breathing,csahighalthist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Central sleep apnea due to a medication or substance,csamedsubhist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Primary central sleep apnea,primarycsahist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Primary central sleep apnea of infancy,primarycsainfhist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Primary central sleep apnea of prematurity,primarycsapremhist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Treatment-emergent central sleep apnea,treatemergcsahist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Obesity hypoventilation syndrome,obeshypohist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Congenital central alveolar hypoventilation syndrome,congencenthypohist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Late-onset central hypoventilation with hypothalamic dysfunction,latecenthypohypothalhist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Idiopathic central alveolar hypoventilation,idiopathcenthypohist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Sleep related hypoventilation due to a medication or substance,sleephypomedsubhist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Sleep related hypoventilation due to a medical disorder,sleephypodisordhist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Narcolepsy type 1,narcoleptype1hist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Narcolepsy type 2,narcoleptype2hist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Idiopathic hypersomnia,idiopathhypersomhist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Kleine-Levin syndrome,kleinelevinhist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Hypersomnia due to a medical disorder,hypersomdisordhist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Hypersomnia due to a medication or substance,hypersommedsubhist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Hypersomnia associated with a psychiatric disorder,hypersompsychhist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Insufficient sleep syndrome,insuffsleephist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Sleep related leg cramps,sleeplegcramphist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Sleep related bruxism,sleepbruxhist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Sleep related rhythmic movement disorder,sleeprhthymmdhist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Benign sleep myoclonus of infancy,sleepmyocloninfhist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Propriospinal myoclonus at sleep onset,propmyoclonhist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Sleep related movement disorder due to a medical disorder,sleepmddisordhist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,Sleep related movement disorder due to a medication or substance,sleepmdmedsubhist,,,,,History - Sled,,,
04A - Medical History - Sleep Disorders,"Sleep related movement disorder, unspecified",sleepmdhist,,,,,History - Sled,,,
05 - Medications,5-Lipoxygenase Inhibitor,5lipoxinh,,,,,,,,
05 - Medications,Cholinesterase Inhibitor,cholinh,,,,,,,,
05 - Medications,alpha-Adrenergic Blocker,alphablocker,,,,,,,,
05 - Medications,alpha-Glucosidase Inhibitor,alphaglucos,,,,,,,,
05 - Medications,Aldosterone Receptor Blocker,aldostblocker,,,,,,,,
05 - Medications,Angiotensin 2 Receptor Blocker,arb,,,,,,,,
05 - Medications,Angiotensin Converting Enzyme Inhibitor,aceinh,,,,,,,,
05 - Medications,Antiarrhythmic,antiarrhyth,,,,,,,,
05 - Medications,Anticholinergic,antichol,,,,,,,,
05 - Medications,Anti-coagulant,anticoag,,,,,,,,
05 - Medications,Atypical Antipsychotic,atypicalantipsychot,,,,,,,,
05 - Medications,Benzodiazepine,benzo,,,,,,,,
05 - Medications,Beta 2 Adrenergic Agonist,betaagonist,,,,,,,,
05 - Medications,beta-Adrenergic Blocker,betablocker,,,,,,,,
05 - Medications,Biguanide,biguanide,,,,,,,,
05 - Medications,Bile Acid Sequestrant,bileacidseq,,,,,,,,
05 - Medications,Calcium Channel Blocker,calcchanblocker,,,,,,,,
05 - Medications,Cardiac Glycoside,digitalis,,,,,,,,
05 - Medications,Central Nervous System Stimulant,cnsstimulant,,,,,,,,
05 - Medications,Corticosteroid,corticoster,,,,,,,,
05 - Medications,Dihydropyridine Calcium Channel Blocker,dhpcalchanblocker,,,,,,,,
05 - Medications,Dipeptidyl Peptidase 4 Inhibitor,dpp4inh,,,,,,,,
05 - Medications,Estrogen,estrogen,,,,,,,,
05 - Medications,GLP-1 Receptor Agonist,glp1agonist,,,,,,,,
05 - Medications,Histamine-2 Receptor Antagonist,h2blocker,,,,,,,,
05 - Medications,HMG-CoA Reductase Inhibitor,hmgcoainh,,,,,,,,
05 - Medications,Hypercholesterolemia,cholloweragent,,,,,,,,
05 - Medications,Insulin,insulin,,,,,,,,
05 - Medications,Insulin Analog,insulinanalog,,,,,,,,
05 - Medications,Leukotriene Receptor Antagonist,leukotrantag,,,,,,,,
05 - Medications,Loop Diuretic,loopdiuretic,,,,,,,,
05 - Medications,Low Molecular Weight Heparin,lmwheparin,,,,,,,,
05 - Medications,l-Thyroxine,thyroxine,,,,,,,,
05 - Medications,l-Triiodothyronine,triiodothy,,,,,,,,
05 - Medications,Monoamine Oxidase Inhibitor,moainhi,,,,,,,,
05 - Medications,Nicotinic Acid,nicotinicacid,,,,,,,,
05 - Medications,Nitrate Vasodilator,nitrated,,,,,,,,
05 - Medications,Nonergot Dopamine Agonist,nonergotdopam,,,,,,,,
05 - Medications,Nonsteroidal Anti-inflammatory Drug,nsaid,,,,,,,,
05 - Medications,Phosphodiesterase 5 Inhibitor,phospho5inh,,,,,,,,
05 - Medications,Platelet Aggregation Inhibitor,plateletedagginh,,,,,,,,
05 - Medications,Potassium Salt,potassiumsalt,,,,,,,,
05 - Medications,Potassium-sparing Diuretic,potassiumspardiur,,,,,,,,
05 - Medications,Progestin,progestin,,,,,,,,
05 - Medications,Proton Pump Inhibitor,ppi,,,,,,,,
05 - Medications,Sulfonylurea,sulfonylurea,,,,,,,,
05 - Medications,Sympathomimetic Amine Anorectic,sympathanorect,,,,,,,,
05 - Medications,Sympathomimetic-like Agent,sympathagent,,,,,,,,
05 - Medications,Thiazide Diuretic,thiazide,,,,,,,,
05 - Medications,Thiazolidinedione,tzd,,,,,,,,
05 - Medications,Tricyclic Antidepressant,tca,,,,,,,,
05 - Medications,Typical Antipsychotic,typicalantipsychot,,,,,,,,
05 - Medications,Unfractionated Heparin,unfractheparin,,,,,,,,
05 - Medications,Vasodilator,vasodilator,,,,,,,,
05 - Medications,Xanthine Oxidase Inhibitor,xanthoxidinh,,,,,,,,
06 - Health Habits,Alcohol consumption,alcohol,,,,,,,,
06 - Health Habits,Self reported bed time,selfrepbedtime,,,,,,,,
06 - Health Habits,Self reported wake time,selfrepwaketime,,,,,,,,
06 - Health Habits,Self reported sleep duration,selfrepsleepduration,,,,,,,,
06 - Health Habits,Smoking status,smoking,shq_eversmoked,Have ever smoked cigarettes,Bestair,Visit 2 (Baseline research exam),reported by subject,,,
06 - Health Habits,Pack years,packyears,,,,,,,,
06 - Health Habits,Caffeine intake,caffeineintake,,,,,,,,
07 - Laboratory Data,Fasting glucose,fastingglucose,bloods_serumgluc,Serum glucose,Bestair,Visit 2 (Baseline research exam);  Visit 4 (12 month),Fasting venipuncture,,,
07 - Laboratory Data,Fasting insulin,fastinginsulin,bloods_insulinfast,Fasting insulin,Bestair,Visit 2 (Baseline research exam);  Visit 4 (12 month),Fasting venipuncture,,,
07 - Laboratory Data,HDL cholesterol,hdlchol,bloods_hdlchol,High-density lipoproteins (HDL) cholesterol,Bestair,Visit 2 (Baseline research exam);  Visit 4 (12 month),venipuncture,,,
07 - Laboratory Data,LDL cholesterol,ldlchol,bloods_ldlcholcalc,Low-density lipoproteins (LDL) cholesterol,Bestair,Visit 2 (Baseline research exam);  Visit 4 (12 month),venipuncture,,,
07 - Laboratory Data,Total cholesterol,totalchol,bloods_totalchol,Total cholesterol,Bestair,Visit 2 (Baseline research exam);  Visit 4 (12 month),venipuncture,,,
07 - Laboratory Data,Triglycerides,triglyc,bloods_triglyc,Triglycerides,Bestair,Visit 2 (Baseline research exam);  Visit 4 (12 month),venipuncture,,,
07 - Laboratory Data,Hemoglobin A1c,hba1c,bloods_hemoa1c,Glycated hemoglobin (HbA1c),Bestair,Visit 2 (Baseline research exam);  Visit 4 (12 month),venipuncture,,,
07 - Laboratory Data,Creatinine,creatinine,bloods_serumcreatin,Serum creatinine,Bestair,Visit 2 (Baseline research exam);  Visit 4 (12 month),venipuncture,,,
07 - Laboratory Data,Creatinine clearance,creatinineclear,,,,,,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type I,type1sleepstudy,,,,,Study Data - Ad,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type II,type2sleepstudy,,,,,Study Data - Ad,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type III,type3sleepstudy,,,,,Study Data - Ad,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type IV,type4sleepstudy,,,,,Study Data - Ad,,,
08A2 - Sleep Study Data - Acquisition - Sleep Study Location,Laboratory,labsleepstudy,,,,,Study Data - Ad,,,
08A2 - Sleep Study Data - Acquisition - Sleep Study Location,Home,homesleepstudy,,,,,Study Data - Ad,,,
08B - Sleep Study Data - Time,Duration of sleep study,sleepstudyduration,embqs_total_recording_time,Total recording time,,,Study Data - Tid,,,
08B - Sleep Study Data - Time,Sleep duration,sleepduration,,,,,Study Data - Tid,,,
08B - Sleep Study Data - Time,Sleep efficiency,sleepefficiency,slp_eff,Calculated - sleep efficiency,,,Study Data - Tid,,,
08B - Sleep Study Data - Time,Sleep fragmentation index,sleepfragmentindex,,,,,Study Data - Tid,,,
08B - Sleep Study Data - Time,Sleep maintenance efficiency,sleepmaintefficiency,,,,,Study Data - Tid,,,
08B - Sleep Study Data - Time,Sleep onset latency,sleeponsetlatency,,,,,Study Data - Tid,,,
08B - Sleep Study Data - Time,Time awake after sleep onset,timeawakeaftersleep,waso,Calculated - wake after sleep onset (WASO),,,Study Data - Tid,,,
08B - Sleep Study Data - Time,Time in bed duration,timeinbedduration,,,,,Study Data - Tid,,,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,,,,,Sleep Study Data - d,,,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,,,,,Sleep Study Data - d,,,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Average central sleep apnea length,avgcsalength,,,,,Sleep Study Data - d,,,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive sleep apnea events,osaevent,,,,,Sleep Study Data - d,,,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive sleeps apneas/hour,osaperhr,,,,,Sleep Study Data - d,,,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Average obstructive sleep apnea length,avgosalength,,,,,Sleep Study Data - d,,,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,,,,,Sleep Study Data - d,,,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,,,,,Sleep Study Data - d,,,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Average hypopnea length,avghypolength,,,,,Sleep Study Data - d,,,
08C1C - Sleep Study Data - Respiratory - Events - Desaturation,Desaturation events,desatevent,,,,,Sleep Study Data - d,,,
08C2 - Sleep Study Data - Respiratory - Indices,Apnea hypopnea index,ahi,ahi_primary,Apnea-Hypopnea Index (AHI),,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Apnea hypopnea index greater than or equal to 15,ahigteq15,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Central apnea index greater than or equal to 5,caigteq5,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Central apnea index: all desaturations,caiall,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Central apnea index: 4% desaturation,cai4percent,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Central apnea index: 4% desaturation or arousal,cai4percentarousal,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea hypopnea index: 4% desaturation,oahi4percent,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: all desaturations,oaiall,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: 4% desaturation,oai4percent,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: 4% desaturation or arousal,oai4percentarousal,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: all desaturations,rdiall,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: all desaturations or arousal,rdiallarousal,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 2% desaturation,rdi2percent,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 2% desaturation or arousal,rdi2percentarousal,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 3% desaturation,rdi3percent,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 3% desaturation or arousal,rdi3percentarousal,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 4% desaturation,rdi4percent,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 4% desaturation or arousal,rdi4percentarousal,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 5% desaturation,rdi5percent,,,,,Study Data - Rd,,,
