id,shhs,definition,positive_value
icsdcsacsb_symptoms,sh308f,Sleep Habits (SHHS2): Frequency of not getting enough sleep,"4,5"
icsdcsacsb_symptoms,sh308g,Sleep Habits (SHHS2): Frequency of taking sleeping pills,"4,5"
icsdcsacsb_symptoms,hosnr02,Sleep Habits (SHHS1): Frequency of snoring,"3,4"
icsdcsacsb_symptoms,stpbrt02,Sleep Habits (SHHS1): Stop breathing during sleep,1
icsdcsacsb_symptoms,sh310,Sleep Habits (SHHS2): Frequency of snoring,"3,4"
icsdcsacsb_symptoms,sh314,Sleep Habits (SHHS2): Stop breathing during sleep,1
icsdcsacsb_symptoms,sh315,Sleep Habits (SHHS2): Frequency of stopping breathing during sleep,"2,3,4"
icsdcsacsb_history,afib_s2,Atrial fibrillation or flutter,yes
icsdcsacsb_history,hf15,MD Reported Heart Failure (SHHS1),yes
icsdcsacsb_history,stroke15,MD Reported Stroke (SHHS1),yes
icsdcsacsb_history,prev_hx_stroke,Previous history of stroke,yes
icsdcsacsb_psg5events,cai0p,Central Apnea Index all oxygen desaturations, 
icsdcsacsb_psgratio,cent_obs_ratio,Central/Obstructive Apnea ratio at all desaturations, 
icsdcsacsb_psgratio,cent_obs_ratioa,Central/Obstructive Apnea ratio at all desaturations or with arousal, 
icsdcsacsb_psgcsb,csbre,PSG Quality Assessment (SHHS2): Periodic breathing (10 min),1
